Track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
好きだから。,0.607,0.498,0,-6.363,1,0.0311,0.239,4.04e-06,0.313,0.714,164.993
アイオクリ,0.425,0.678,9,-3.72,1,0.0345,0.171,0,0.129,0.337,165.933
MIRAI,0.443,0.68,6,-5.029,0,0.0435,0.0513,0,0.103,0.4,159.869
Blooming,0.37,0.966,6,-2.325,1,0.142,2.61e-05,0.0895,0.286,0.454,164.919
オレンジ,0.348,0.492,7,-4.844,1,0.0324,0.171,0,0.116,0.3,171.637
春夏秋冬,0.543,0.632,11,-5.515,1,0.0304,0.383,0,0.093,0.384,79.004
奏(かなで),0.508,0.545,3,-6.058,1,0.0289,0.0688,0,0.0875,0.305,149.765
GHOST,0.45,0.942,6,-5.262,1,0.172,0.00401,0,0.11,0.282,91.009
color capsule,0.557,0.512,5,-9.037,1,0.0303,0.781,0.00114,0.107,0.465,151.962
僕は君に恋をする,0.462,0.58,0,-5.713,1,0.0288,0.295,0,0.106,0.299,138.107
Marigold,0.545,0.745,2,-3.098,1,0.0286,0.0452,0,0.0907,0.413,106.094
Naked Heart,0.559,0.448,8,-4.11,1,0.0275,0.537,1.85e-05,0.0915,0.354,148.02
secret base ~君がくれたもの~ (10 years after Ver.),0.606,0.605,6,-4.615,1,0.0271,0.118,0,0.194,0.447,133.883
Sincerely,0.417,0.846,2,-3.377,1,0.0594,0.0311,0,0.233,0.466,143.994
Sparkle - Original Version,0.634,0.506,11,-5.882,1,0.0316,0.729,1.11e-06,0.12,0.244,124.003
Theme of Violet Evergarden,0.174,0.28,5,-17.965,1,0.0425,0.737,0.535,0.184,0.113,84.597
未来へ,0.566,0.486,5,-5.228,1,0.0282,0.447,0,0.0744,0.321,152.035
紅蓮華,0.541,0.977,4,-2.828,0,0.157,0.00321,5.13e-05,0.0796,0.263,134.938
crossing field,0.447,0.983,5,-2.281,1,0.268,0.0157,0,0.276,0.317,179.072
Catch the Moment,0.403,0.978,7,-1.875,1,0.146,0.0575,1.67e-06,0.331,0.443,190.062
Rising Hope,0.515,0.976,8,-2.741,1,0.386,0.0659,0,0.0707,0.639,189.92
緋色の空,0.379,0.916,9,-4.394,0,0.0635,0.00397,0.00456,0.0974,0.587,168.888
君はロックを聴かない,0.524,0.687,7,-4.039,1,0.0267,0.00135,0,0.169,0.619,99.919
Let the Night,0.441,0.852,1,-3.595,1,0.0383,0.0254,0,0.0862,0.64,104.855
